,spotify_id,album,artist,tracks,artist_gender,artist_age,release_date,artist_country,popularity,rating
10,7e7t0MCrNDcJZsPwUKjmOc,"shoot for the stars, aim for the moon ",pop smoke,19,Male,20,03/07/2020,US,79,6
11,6gJ8VKn5PAFcCIVaf3B2uE,nectar ,joji,18,Male,28,24/09/2020,US,75,6
27,7lQFB2a8cy0G6XR9BGh6IF,the allegory ,"royce da 5'9""",22,Male,42,21/02/2020,US,36,6
36,6nUUV3haj8ug8okTmOyIU2,i let it in and it took everything ,loathe,14,Group,,07/02/2020,GB,64,6
40,5BRhg6NSEZOj0BR6Iz56fR,plastic hearts ,miley cyrus,15,Non-binary,28,27/11/2020,US,77,6
49,20r762YmB5HeofjMCiPMLv,my beautiful dark twisted fantasy ,kanye west,13,Group,,22/11/2010,GB,81,6
56,7lQFB2a8cy0G6XR9BGh6IF,the allegory ,"royce da 5'9""",22,Male,42,21/02/2020,US,36,6
58,31qVWUdRrlb8thMvts0yYL,the slow rush ,tame impala,12,Male,34,14/02/2020,AU,77,6
73,6nfJMRoIjyRwk3ZTHNm0PY,pray for paris ,westside gunn,12,Male,37,17/04/2020,US,60,6
74,140JX9hRDcAmfANQeKSnmG,disco ,kylie minogue,16,Female,52,06/11/2020,AU,53,6
76,2hBsumppgOd7CFAeBG1QfA,"down in the weeds, where the world once was ",bright eyes,14,Group,,21/08/2020,US,39,6
80,6vrPYwaocZatMSJHAghS5b,re-animator ,everything everything,11,Group,,11/09/2020,GB,36,6
82,7IO9UObUD76ZCLVu3ND7tz,extinction level event 2: the wrath of god ,busta rhymes,22,Male,48,30/10/2020,US,44,6
90,4cGMvaBqpT2Vn6aMMe9bCH,crack a light ,dope body,14,Group,,30/10/2020,US,8,6
95,38grabLpTHYySHEyG0TyUN,333,bladee,16,Male,26,16/07/2020,SE,54,6
98,4dsMe3EBC8xURaxMhyorgf,top shotta ,nle choppa,20,Male,17,07/08/2020,US,71,6
99,17SLjgzWYYPzxSggG8BRw5,likewise ,frances quinlan,9,Female,33,31/01/2020,US,28,6
100,16NHNs15w1bpkFiBOUgDaB,7g ,a. g. cook,49,Male,29,12/08/2020,,45,6
119,4ccRIggrRn3rn6OJJTtg19,endless wound ,black curse,7,Group,,24/04/2020,GB,26,6
128,6fA79mAHNeBhaUnuWBADwc,lament ,touché amoré,11,Group,,09/10/2020,US,38,6
139,1prgWeOu8QaOZnMeUeTdhN,ultimate success today ,protomartyr,10,Group,,17/07/2020,US,31,6
140,59GRmAvlGs7KjLizFnV7Y9,it is what it is ,thundercat,15,Male,35,03/04/2020,US,69,6
141,3DJr1BSzizp7VguJ65LqrQ,años en infierno ,xibalba,8,Group,,29/05/2020,US,19,6
150,5JRDThBQfispLDYGCF4JuX,kiss my super bowl ring ,the garden,11,Group,,13/03/2020,GB,48,6
152,4pk3IXbfaU0cK7oHuEdbEJ,disco4 :: part i ,health,12,Group,,08/04/2022,US,49,6
154,79fGMhdBAKmCiih3K8Gwqz,inner song ,kelly lee owens,10,Female,32,28/08/2020,GB,37,6
156,16l3FJwjZooUHbU37sdeeI,protean threat ,osees (oh sees),13,Group,,18/09/2020,US,39,6
157,2Bd6trS7kIZOXujYdVP8Xd,the ascension ,sufjan stevens,15,Male,45,25/09/2020,US,38,6
166,6KyrXenbN00HrJscGWCsf0,we're new again ,gil-scott heron & makaya mccraven,18,Male,36,07/02/2020,,29,6
169,0KjckH1EE6HRRurMIXSc0r,good news ,megan thee stallion,17,Female,25,20/11/2020,US,67,6
172,0lvI7FUbha0fLMiHz57OV7,telas ,nicolas jaar,4,Male,30,17/07/2020,US,17,6
173,6uuQKwM3fRETiscHqlnxuo,k.g. ,king gizzard & the lizard wizard,10,Group,,20/11/2020,AU,45,6
176,6wp1us3xBnYz5qldxrZXRf,energy ,disclosure,20,Group,,28/08/2020,GB,57,6
182,5o7JAhPyjgxKUsJH0PpwwZ,magic oneohtrix point never ,oneohtrix point never,17,Male,38,30/10/2020,US,38,6
188,23SV7P5U8oF3EJfkdW08wO,"anime, trauma & divorce ",open mike eagle,12,Male,39,16/10/2020,,26,6
199,6JP1xbkFnacGAvrIWW5pzF,everything is beautiful & everything sucks ,princess nokia,10,Non-binary,27,26/02/2020,,50,6
206,6HwzIlrCDq3WF9vMq8meqG,we're all alone in this together ,dave,12,Group,,22/07/2021,US,70,6
214,7n23fjZTviIUnHyvZGQjni,the melodic blue ,baby keem,19,Male,20,22/09/2021,US,64,6
232,5xnZl7sdxxIb4rkDcbD4IC,hushed and grim ,mastodon,15,Group,,29/10/2021,US,50,6
235,5fa6oWFXuvaVkY49mfOsRd,ancient dreams in a modern land ,marina,10,Female,35,11/06/2021,,61,6
239,4WX3TCsgiGPEfWF37jq5N6,a diabolic thirst ,spectral wound,6,Group,,16/04/2021,,34,6
244,0KtFP56RU7bd32pcvdeWOU,hitler wears hermes 8 ,westside gunn,20,Male,39,24/09/2021,US,58,6
253,0bjWUx7icW39rOfUnX6PVc,bob's son ,r.a.p. ferreira,12,Male,28,01/01/2021,US,25,6
257,4LjNbxlMmWNn5Yky9bfxRm,as the love continues ,mogwai,11,Group,,19/02/2021,GB,28,6
260,3sq0hRtlT2SYeYajr5Cx22,"if i can't have love, i want power ",halsey,13,Female,26,27/08/2021,US,57,6
262,07FItTfHsxADQ4sLDxqgFA,drunk tank pink ,shame,22,Group,,19/11/2021,GB,38,6
276,4odeNH2Qe9DAxT3sC1qq9p,super what? ,czarface & mf doom,10,Male,49,07/05/2021,US,55,6
295,27ygqCfb4dXQ3jyXnC58FU,crawler ,idles,14,Group,,12/11/2021,GB,53,6
296,7DRgfXDI7Uk4HKIEC1Z4lb,hall of fame ,polo g,20,Group,,25/06/2021,GB,42,6
298,6SPUtbeCQiPGej0t5RBasE,take the sadness out of saturday night ,bleachers,10,Group,,30/07/2021,US,51,6
299,2rnbGp9o1lJ0T77RBU1bCC,flux ,poppy,9,Female,26,24/09/2021,US,45,6
310,6CvBb1XqN0igtQrWrbXD80,the voice of the heroes ,lil baby & lil durk,18,Male,28,04/06/2021,US,68,6
315,4n1tg05JN5EY0k7FRRcAir,the fool ,bladee,13,Male,27,28/05/2021,SE,52,6
317,6H9QBo21NFBgN9Thf84pK7,is 4 lovers ,death from above 1979,10,Group,,26/03/2021,CA,35,6
337,0Q6KFth9qxni5rsmqtcTKO,screen violence ,chvrches,10,Group,,27/08/2021,GB,45,6
345,6H9QBo21NFBgN9Thf84pK7,is 4 lovers ,death from above 1979,10,Group,,26/03/2021,CA,35,6
353,0Q6KFth9qxni5rsmqtcTKO,screen violence ,chvrches,10,Group,,27/08/2021,GB,45,6
354,67ZK5fWl9gSwh08YJJyLci,lei line eon ,iglooghost,10,Male,,02/04/2021,GB,25,6
366,1f92L2RYQBvolOuzzpQYbP,van gogh's left ear ,zelooperz,19,Male,28,20/07/2021,,31,6
370,3hufhPvd2yMXONUeQjyrT3,charmed ,dj sabrina the teenage dj,31,Group,,25/11/2020,GB,29,6
373,6luveNSKdzgv80ZqQYsIgA,we are always alone ,portrayal of guilt,9,Group,,29/01/2021,US,22,6
376,6Ev0UgdNwWq80Em5jknB95,harlecore ,danny l harle,1,Male,,11/07/2019,,10,6
382,0KkHzH0uia9zwPbrCbS6NY,twopointfive mi,aminé,12,Male,27,05/11/2021,US,52,6
384,0KkHzH0uia9zwPbrCbS6NY,twopointfive mi,aminé,12,Male,27,05/11/2021,US,52,6
386,5LsyqeWryTmxsmda4xkm5a,unlocked 1.5 ,denzel curry x kenny beats,8,Male,24,07/02/2020,US,52,6
387,438ToDoVaJH5aTIXXrlDyI,demidevil mi,ashnikko,10,Non-binary,24,15/01/2021,US,68,6
388,30isRfL4u7fowKgTVsydDt,un canto por méxico vol. 2 ,natalia lafourcade,12,Female,33,05/05/2017,MX,63,6
